day,platform,post_id,theme,asset,link,status,notes
Day 1 Monday,LinkedIn,HANT-01,Product design / UX breakdown,assets/cms/hant-product-01.png,https://efetuzlu.online/work/hant-ai-travel-app/,ready,First strong positioning post
Day 2 Tuesday,LinkedIn,HANT-02,First design decision,assets/cms/hant-product-02.png,https://efetuzlu.online/work/hant-ai-travel-app/,draft,
Day 2 Tuesday,Instagram,HANT-05,Before / after,assets/cms/hant-product-03.png,https://efetuzlu.online/work/hant-ai-travel-app/,draft,Short visual carousel
Day 3 Wednesday,LinkedIn,SAGLIK-01,Trust-heavy UX problem,assets/cms/bd01ea66-0697-4143-afef-f527ec020ec4-1783275971527.png,https://efetuzlu.online/work/saglik-gelsin-home-healthcare-app/,draft,
Day 4 Thursday,LinkedIn,HANT-04,AI trust and UI detail,assets/cms/hant-product-04.png,https://efetuzlu.online/work/hant-ai-travel-app/,draft,
Day 4 Thursday,Instagram,MAMBO-02,Visual showcase,assets/cms/mambocino-1.png,https://efetuzlu.online/work/mambocino-coffee-branding/,draft,
Day 5 Friday,LinkedIn,ENK-07,Learning / product insight,assets/cms/kurs-feed-1782747905700.png,https://efetuzlu.online/work/en-kiymetlim-parenting-app/,draft,
Day 6 Saturday,Instagram,SAMURAI-04,Packaging detail,assets/cms/samurai-bros-5.png,https://efetuzlu.online/work/samurai-bros-packaging/,draft,
Day 7 Sunday,Behance,BEHANCE-01,Case refresh,Hant + Saglik selected media,https://efetuzlu.online/,planned,Update profile/project links
Day 8 Monday,LinkedIn,ENK-01,Product design / UX breakdown,assets/cms/en-ka-ymetlim-web-app-1782747905607.png,https://efetuzlu.online/work/en-kiymetlim-parenting-app/,draft,
Day 9 Tuesday,LinkedIn,MAMBO-01,Brand problem,assets/cms/mambocino-2.png,https://efetuzlu.online/work/mambocino-coffee-branding/,draft,
Day 9 Tuesday,Instagram,SAUNA-02,Visual showcase,assets/cms/saunakit-configurator-desktop-20260706.png,https://efetuzlu.online/work/saunakit-brand-identity/,draft,
Day 10 Wednesday,LinkedIn,SAGLIK-03,Flow simplification,assets/cms/7b2b77e1-54f4-4462-a623-2ef5ad26945f-1783275970600.png,https://efetuzlu.online/work/saglik-gelsin-home-healthcare-app/,draft,
Day 11 Thursday,LinkedIn,SAMURAI-03,Packaging hierarchy,assets/cms/samurai-bros-4.png,https://efetuzlu.online/work/samurai-bros-packaging/,draft,
Day 11 Thursday,Instagram,SAGLIK-04,Trust/UI detail,assets/cms/bfe66bff-4d79-4141-a9a8-dc44dd743e3e-1783275972047.png,https://efetuzlu.online/work/saglik-gelsin-home-healthcare-app/,draft,
Day 12 Friday,LinkedIn,SAUNA-07,Learning / product communication,assets/cms/saunakit-configurator-panel-20260706.png,https://efetuzlu.online/work/saunakit-brand-identity/,draft,
Day 13 Saturday,Instagram,ENK-05,Before / after,assets/cms/dana-a-man-bul-1782747905527.png,https://efetuzlu.online/work/en-kiymetlim-parenting-app/,draft,
Day 14 Sunday,Behance,BEHANCE-02,Case refresh,Mambocino + Samurai selected media,https://efetuzlu.online/,planned,Prepare next 14 days from best performers
